Event	ID	Name			Wwise Object Path	Notes
	388756148	Play_DistrictAmbience			\Default Work Unit\Ambiences\Play_DistrictAmbience	
	884363281	Play_DoorSlam			\Default Work Unit\Level 1\Play_DoorSlam	
	1309478403	Play_CameraFlash			\Default Work Unit\gpFeedbacks\Play_CameraFlash	
	2047298185	Play_WallSlide2			\Default Work Unit\Level 1\Play_WallSlide2	
	2047298186	Play_WallSlide1			\Default Work Unit\Level 1\Play_WallSlide1	
	2077601938	Stop_DistrictAmbience			\Default Work Unit\Ambiences\Stop_DistrictAmbience	
	2946881380	FTPS			\Default Work Unit\gpFeedbacks\FTPS	
	3447864244	Play_PhoneRing			\Default Work Unit\Level 1\Play_PhoneRing	
	3698047240	Play_Breath			\Default Work Unit\gpFeedbacks\Play_Breath	
	3799346131	Play_NoPicture			\Default Work Unit\gpFeedbacks\Play_NoPicture	
	4264221306	Play_HouseAmb			\Default Work Unit\Ambiences\Play_HouseAmb	

Switch Group	ID	Name			Wwise Object Path	Notes
	3072116243	GroundMaterial			\Default Work Unit\GroundMaterial	

Switch	ID	Name	Switch Group			Notes
	841620460	Concrete	GroundMaterial			
	2058049674	Wood	GroundMaterial			
	2852503135	Ethereal	GroundMaterial			
	3316001432	Tiles	GroundMaterial			
	4248645337	Grass	GroundMaterial			

Game Parameter	ID	Name			Wwise Object Path	Notes
	4101628508	IsInHouse			\Default Work Unit\IsInHouse	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	18701963	SFX_OS_Woodsqueak-003	C:\Users\evalb\Documents\GitHub\ProjetHorreur\ProjetHorreur_WwiseProject\.cache\Windows\SFX\SFX_OS_Woodsqueak-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambiences\House\Wood Squeaks\SFX_OS_Woodsqueak-003		194108
	35785480	SFX_OS_FT_Concrete-004	C:\Users\evalb\Documents\GitHub\ProjetHorreur\ProjetHorreur_WwiseProject\.cache\Windows\SFX\SFX_OS_FT_Concrete-004_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\FTPS\Concrete\SFX_OS_FT_Concrete-004		105000
	36181278	SFX_OF_FT_Ethereal-003	C:\Users\evalb\Documents\GitHub\ProjetHorreur\ProjetHorreur_WwiseProject\.cache\Windows\SFX\SFX_OF_FT_Ethereal-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\FTPS\Ethereal\SFX_OF_FT_Ethereal-003		298792
	43655015	SFX_OS_FT_Wood-011	C:\Users\evalb\Documents\GitHub\ProjetHorreur\ProjetHorreur_WwiseProject\.cache\Windows\SFX\SFX_OS_FT_Wood-011_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\FTPS\Wood\SFX_OS_FT_Wood-011		81508
	46233068	SFX_OS_FT_Concrete-002	C:\Users\evalb\Documents\GitHub\ProjetHorreur\ProjetHorreur_WwiseProject\.cache\Windows\SFX\SFX_OS_FT_Concrete-002_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\FTPS\Concrete\SFX_OS_FT_Concrete-002		103532
	67665767	SFX_OS_FT_Wood-016	C:\Users\evalb\Documents\GitHub\ProjetHorreur\ProjetHorreur_WwiseProject\.cache\Windows\SFX\SFX_OS_FT_Wood-016_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\FTPS\Wood\SFX_OS_FT_Wood-016		65196
	70605075	SFX_OS_FT_Grass-003	C:\Users\evalb\Documents\GitHub\ProjetHorreur\ProjetHorreur_WwiseProject\.cache\Windows\SFX\SFX_OS_FT_Grass-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\FTPS\Grass\SFX_OS_FT_Grass-003		88000
	80746490	SFX_OS_FT_Concrete-006	C:\Users\evalb\Documents\GitHub\ProjetHorreur\ProjetHorreur_WwiseProject\.cache\Windows\SFX\SFX_OS_FT_Concrete-006_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\FTPS\Concrete\SFX_OS_FT_Concrete-006		79132
	135388325	SFX_OS_FT_Tiles-003	C:\Users\evalb\Documents\GitHub\ProjetHorreur\ProjetHorreur_WwiseProject\.cache\Windows\SFX\SFX_OS_FT_Tiles-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\FTPS\Tiles\SFX_OS_FT_Tiles-003		59708
	135656164	SFX_OS_FT_Grass-006	C:\Users\evalb\Documents\GitHub\ProjetHorreur\ProjetHorreur_WwiseProject\.cache\Windows\SFX\SFX_OS_FT_Grass-006_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\FTPS\Grass\SFX_OS_FT_Grass-006		119048
	161298080	SFX_OS_FT_Grass-008	C:\Users\evalb\Documents\GitHub\ProjetHorreur\ProjetHorreur_WwiseProject\.cache\Windows\SFX\SFX_OS_FT_Grass-008_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\FTPS\Grass\SFX_OS_FT_Grass-008		91868
